transliteration,normalization,remarks
Ma-at-gi₄-gi₄,Matgigi[]PN,uncertain (< Irisaŋrig)
Ma-at-i₃-li₂,Matili[]PN,
Ma-at-i₃-li₂-ta,Matili[]PN,
Ma-az-bi-um,Mazbium[]PN,uncertain; Princeton 2 506 o ii 30': Ma-az-bi#-[um?] (photo)
Ma-ša-tum{ki},Mašatum[]SN,
Ma-šum,Mašum[]PN,
Ma-šum-ta,Mašum[]PN,
Ma-da-ti,Madati[]PN,
Ma-da-ti-na,Madatina[]PN,
Ma-di₃-na-ad,Madinad[]PN,Martu
Ma-du-um,Madum[]PN,
Ma-hi-li{ki},Mahili[]SN,
Ma-ku-ku,Makuku[]PN,
Ma-la-hu-um,Malahhum[]PN,
Ma-li-a,Maliʾa[]PN,
Ma-li-kum,Malikum[]PN,Martu
Ma-lik-e₂-a,MalikEa[]PN,
Ma-ma,Mama[]PN,
Ma-ma-AB₂,Ma.ma.HI.NI[]PN,MVN 13 478 seal 2: dumu Ma-ma-hi-li2 (copy/photo)
Ma-ma-a,Mama[]PN,"or, Mamaʾa/Mamaya?"
Ma-ma-šar-ra-at,Mamašarrat[]PN,
Ma-ma-hir,Mamahir[]PN,
Ma-ma-hir-ke₄-ne,Mamahir[]PN,
Ma-ma-il-šu,Mamaʾilšu[]PN,
Ma-na-a,Mana[]PN,"or, Manaʾa/Manaya?"
Ma-na-na,X.na.na[]PN,CDLI P387673 o 7: DUB x#-na-na (photo); CDLI: kišib3 ma-na-na
Ma-ni-DINGIR-ta,Manniʾili[]PN,uncertain
Ma-ni-ga-num₂,Maniganum[]PN,Martu
Ma-ni-um,Mannium[]PN,Manium? (Martu)
Ma-ni-zu,Mannizu[]PN,Maniṣ/zu? (Martu)
Ma-nu-a,Mannuʾa[]PN,
Ma-nu-ma-nu-um,MannumAnum[]PN,uncertain (Mannumannum?); PDT 2 0959 o? ii? 33 (no copy/photo)
Ma-nu-um,Mannum[]PN,Manum?
Ma-num₂-ki-{d}Šul-gi,MannumkiŠulgi[]PN,
Ma-num₂-um-ki-{d}Šul-gi,MannumkiŠulgi[]PN,
Ma-num₂{ki}-{d}Šul-gi,MannumkiŠulgi[]SN,
Ma-ri-HI-DINGIR,Ma.ri.HI.DINGIR[]PN,TCS 326 o 3 (copy)
Ma-ri₂,Mari[]SN,
Ma-ri₂-me,Mari[]SN,
Ma-ri₂{ki},Mari[]SN,
Ma-ri₂{ki}-še₃,Mari[]SN,
Ma-ri₂{ki}-me,Mari[]SN,
Ma-ti-i₃-li₂,Matili[]PN,
Ma-za-ga₂-ga₂,Mazaŋaŋa[]SN,
Ma-zi-ma-zu-še₃,Kuzimazu[]PN,"TAD 40 o 5 (copy, KU not MA so photo)"
Ma₂-gan,Magan[]SN,
Ma₂-gan-niga,Magan[]SN,+ quality of sheep
Ma₂-gan{ki},Magan[]SN,
Ma₂-gan{ki}-niga,Magan[]SN,+ quality of sheep
Ma₂-gur₈-re,Magure[]PN,
Ma₂-gur₈-re-ta,Magure[]PN,
Ma₂-li-li,Malili[]PN,
Ma₂-ri₂{ki},Mari[]SN,PDT 1 594 o 12 (probly MA; no copy/photo)
Ma₂-sa₆-sa₆,Masagsag[]PN,
Ma₂-za,Maza[]PN,
Maš-bi₂-ga₂-ta,Mašbiŋa[]PN,
Maš-da-tur-ta,Mašdatur[]PN,MAŠ entries for MAŠ2?
Maš-gu-la,Mašgula[]PN,
Maš-gu-la-ta,Mašgula[]PN,
Maš-kan₂,Maškan[]GN,
Maš-kan₂-ŠABRA-ta,MaškanŠapir[]SN,
Maš-kan₂-ŠABRA{ki}-me,MaškanŠapir[]SN,
Maš-kan₂-ŠABRA{ki}-ta,MaškanŠapir[]SN,
Maš-kan₂-Du-du{ki}-ta,MaškanDudu[]SN,
Maš-kan₂-a-bi₂{ki},MaškanAbi[]SN,
Maš-kan₂-a-bi₂{ki}-še₃,MaškanAbi[]SN,
Maš-kan₂-šabra,MaškanŠapir[]SN,
Maš-kan₂-šabra{ki},MaškanŠapir[]SN,
Maš-kan₂-šabra{ki}-ke₄-ne-ta,MaškanŠapir[]SN,
Maš-kan₂-šabra{ki}-me,MaškanŠapir[]SN,
Maš-kan₂-šar-ru-um{ki},MaškanŠarrum[]SN,
Maš-kan₂-šar-ru-um{ki}-ke₄-ne,MaškanŠarrum[]SN,
Maš-kan₂-šar-ru-um{ki}-ma,MaškanŠarrum[]SN,
Maš-kan₂-šar-ru-um{ki}-me,MaškanŠarrum[]SN,
Maš-kan₂-du-du{ki},MaškanDudu[]SN,
Maš-kan₂-du-du{ki}-me,MaškanDudu[]SN,
Maš-kan₂-du-du{ki}-ta,MaškanDudu[]SN,
Maš-kan₂-gaeš{sar.ki},MaškanKarašum[]SN,uncertain (MaškanGaʾiššu?); Trouvaille 54 r i 8' (copy)
Maš-kan₂-ka₃-la-tum{ki}-me-eš₂,MaškanKallatum[]SN,uncertain
Maš-kan₂-ke₄,Maškan[]GN,
Maš-kan₂-ke₄-ne-ta,Maškan[]GN,
Maš-kan₂-u₂-šu-re₂{ki},MaškanUšuri[]SN,
Maš-kan₂-u₂-šu-ri{ki},MaškanUšuri[]SN,
Maš-kan₂-{d}Amar-{d}Suen{ki},MaškanAmarSuʾen[]SN,
Maš-kan₂{ki},Maškan[]GN,
Maš-kan₂{ki}-ta,Maškan[]GN,
Maš-tur,Maštur[]PN,
Maš₂-kan₂-ŠABRA{ki},MaškanŠapir[]SN,typo; TCL 2 5506 o 3 (MAŠ2 for MAŠ; copy/photo)
Mar-da-ba-nu-um,Mardabanum[]PN,Martu
Mar-da-bu-um,Mardabum[]PN,Martu
Mar-da-ma-an{ki},Mardaman[]SN,
Mar-da-ma-ni-um{ki},Mardaman[]SN,
Mar-da-ma-ni{ki},Mardaman[]SN,
Mar-da-mu-um,Mardamum[]PN,Martu
Mar-da{ki},Marad[]SN,typo; Rochester 019 r 1 (MAR for MAR2; photo)
Mar-ha-ši,Marhaši[]GN,
Mar-ha-ši{ki},Marhaši[]GN,
Mar-ha-ši{ki}-še₃,Marhaši[]GN,
Mar-ha-ši{ki}-ke₄-ne,Marhaši[]GN,
Mar-ha-ši{ki}-ke₄-ne-še₃,Marhaši[]GN,
Mar-ha-ši{ki}-me,Marhaši[]GN,
Mar-ha-ši{ki}-ra,Marhaši[]GN,
Mar-ha-ši{ki}-ta,Marhaši[]GN,
Mar-hu-ni,Marhuni[]PN,< Harši
Mar-tu,Martu[]GN,
Mar-tu-a,Martu[]GN,"Borowski Collection, unpubl. ms., C6 o 4: kur Mar-tu-a pa3-da (copy)"
Mar₂-ad-da-še₃,Marad[]SN,
Mar₂-da,Marad[]SN,
Mar₂-da{ki},Marad[]SN,
Mar₂-da{ki}-ka,Marad[]SN,
Mar₂-da{ki}-ka-še₃,Marad[]SN,
Mar₂-da{ki}-ta,Marad[]SN,
Mar₂-ma-an{ki},Marman[]SN,
Marad₂{ki},Marad[]GN,
Marda₂,Marad[]SN,typo; entries have Marda2 for Marad2
Marda₂{ki},Marad[]SN,
Marda₂{ki}-ka,Marad[]SN,
Marda₂{ki}-ta,Marad[]SN,
Mar{ar}-ha-ši{ki},Marhaši[]GN,
Mar{ar}-ha-ši{ki}-ta,Marhaši[]GN,
Mar{ar}-hu-ni,Marhuni[]PN,
Me-Eš₄-tar₂,ME.Eš₁₈.tar₂[]PN,
Me-a-NE,ME.a.NE[]PN,CDLB 2010: 1 4 o 6 (photo); CDLI: me-a-lam2
Me-ša-nu-nu,Mešanunu[]PN,LU2.SU
Me-ši-ad,Mešiʾad[]PN,
Me-ši-nu-nu,Mešanunu[]PN,
Me-dur-an{ki},Meturan[]SN,
Me-gu-um,Megum[]PN,ensi2 Ebla
Me-igi-gal₂,Meʾigiŋal[]PN,
Me-ki-gal₂,Mekiŋal[]DN,Mekiŋalak?; part of PD month-name (11)
Me-ki-gal₂-e,Mekigal[]PN,part of PD intercalary month-name (11 diri)
Me-ki-gal₂-ke₄,Mekigal[]PN,part of PD intercalary month-name (11 diri)
Me-ki-gal₂-la,Mekigal[]PN,part of PD month-name (11)
Me-ra-ah-{d}Šul-gi,MerahŠulgi[]PN,
Me-ru-um,Merum[]PN,
Mi-šu-a-bi-NIIR,Mišuʾabir[]PN,
Mi-šu-a-bi-ir,Mišuʾabir[]PN,
Mi-da-a,Mida[]PN,"or, Midaʾa/Midaya?"
Mi-da-nu-um,Midanum[]PN,Martu
Mi-da-num₂,Midanum[]PN,
Mi-gir-{d}NIN.LIL₂-tum,MigirMulliltum[]PN,uncertain
Mi-il-ga-nu-um,Milganum[]PN,Martu
Mi-il₈-ga-nu-um,Milganum[]PN,SAT 2 0724 r iii 4: Mi-il8!?-ga-nu-um mar-tu (no copy/photo)
Mi-im-mi,Mimmi[]PN,
Mi-it-ha-ar-iš-ta,Mithariš[]PN,
Mi-it-har-iš,Mithariš[]PN,
Mi-it-har-iš-ta,Mithariš[]PN,
Mi-ki-a,Mikiʾa[]PN,
Mi-na-nu-um,Minanum[]PN,
Mu-GIR₃-ir,Mu.GIR₃.ir[]PN,< magāru D?; ASJ 15 141 19 o 11 (no copy/photo)
Mu-šu-hur-da,Mušuhurda[]PN,< Habura
Mu-šub-be₂,Mušube[]PN,hypo?
Mu-da-num₂,Mudanum[]PN,Martu
Mu-da-pa₂-li₂-lum,Mudapalilum[]PN,
Mu-ki-iš{ki},Mukiš[]SN,
Mu-ku,Mu.KU[]PN,BCT 1 130 o 7 (copy/photo)
Mu-ku-ni,Mu.KU.X[]PN,MVN 15 142 r 4 (possibly NI; copy/photo)
Mu-mu,Muŋu[]PN,Mumu?
Mu-mu-a,Mumuʾa[]PN,
Mu-ni,Muni[]PN,hypo?
Mu-ni-mah,Munimah[]PN,
Mu-ra-nu-um,Muranum[]PN,Martu
Mu-ra-num₂,Muranum[]PN,
Mu-ri-,MuriqTidnim[]SN,part of SS 04 year-name
Mu-ri-a-na-ba-ak,Muriʾanabak[]PN,Elamite?
Mu-ri-ig-Ti-id-ni-im,MuriqTidnim[]SN,
Mu-ri-iq,MuriqTidnim[]SN,part of SS 04 year-name
Mu-ri-iq-Ti-id-ni-im,MuriqTidnim[]SN,
Mu-ri-iq-Ti-id-nim,MuriqTidnim[]SN,
Mu-ri-na-ba,Murinaba[]PN,"cf, {d}Nanna(-e)-mu-ri-na-ba"
Mu-ru-PI,Mu.ru.PI[]PN,BIN 3 551 r 2 (copy)
Mu-tab-bil,Mutabbil[]PN,BIN 3 546 o 15 (BIL2 not BIL; copy)
Mu-ur₂-ti-ga-ba,Murtingaba[]PN,
Mu-ur₂-ti-gaba,Murtingaba[]PN,
Mu-ur₂-tin-ga-ba,Murtingaba[]PN,
Mu-ur₂-tin-gaba,Murtingaba[]PN,
NAG-su{ki},Naŋsu[]SN,
NAG-su{ki}-ke₄,Naŋsu[]SN,
NAG-su{ki}-ta,Naŋsu[]SN,
NE-NE-a,Bibiʾa[]PN,"uncertain; cf, Bi2-i3-bi2-a"
NE-ga-KUM-ta,NE.ga.GUM[]PN,Biqaqum?
NE-ga-num₂,NE.ga.LUM[]PN,Biqaqum?
NE-gu₇-bi,Bigubi[]PN,
NE-gu₇-ne,Bigubi[]PN,
NE-iš-a-tal,Tišatal[]PN,Hurrian
NE-mu-ša-ni-mu,Bimušanimu[]PN,Martu
NE-ri-iš-a-tal,Tirišatal[]PN,
NE-ti-ti,Bititi[]PN,
NE-za-ti,Bizati[]PN,= Bizatum?
NE-zi-lum,Bizinum[]PN,= Bizanum?
NE.NE-a,Bibiʾa[]PN,
NE.NE-gar,NE.NE.ŋar[]MN,Nippur month-name 05
NE.NE.SI-še₃,NE.NE.SI[]PN,
NI-NI-a,Bibiʾa[]PN,
NI-UD-MA-ta,Itama[]PN,Atum?
NI-ZA-NI-lu₂-zi,Bizani[]PN,uncertain (Bizani + profession?); Amorites 18 (pl. 7) o iv 39 (copy)
NI-a,NI.a[]PN,Ia/Iaʾa?; Syracuse 480 r 1 (copy/photo)
NI-a-ma-ti,Iamati[]PN,uncertain; JCS 07 105 NCBT 1593 r 3 (copy)
NI-a-mi-iš{ki},Iamiš[]SN,"or, Iaʾamiš?; OrSP 05 53 17 Wengler 25 o 3 (translit)"
NI-a-ti-um,Iatiʾum[]PN,uncertain (Martu); AUCT 1 448 o 7 (copy/photo)
NI-a-um,Iaʾum[]PN,uncertain; MVN 13 396 r 10 (copy/photo)
NI-ba-ba,NI.ba.ba[]PN,OIP 115 278 r 4 (photo)
NI-ba-ri{ki},NI.ba.ri{ki}[]SN,= Iabru?; BPOA 7 1859 o 5' (no copy/photo)
NI-ba-um,NI.ba.um[]PN,MVN 13 423 o 16 (copy/photo)
NI-da-ga,NI.da.ga[]PN,Idaga/Iadaga?
NI-da-gal₂,Idaŋal[]PN,
NI-da-ra-aš-PI{ki},NI.da.ra.aš.pi{ki}[]SN,probly Hurrian SN (NI-da-ra-aš+gen?); ASJ 03 074 r 1 (copy)
NI-da-ra-aš-pi₂{ki},NI.da.ra.aš.pi₂{ki}[]SN,probly Hurrian SN (NI-da-ra-aš+gen?); PDT 2 0959 o? i? 11' (no copy/photo)
NI-du-a,Iduʾa[]PN,uncertain; OIP 115 491 o 2 (photo)
NI-e₃,Iʾe[]PN,
NI-in-mu,Ninŋu[]PN,uncertain (may not be Sum.)
NI-la-ša-mar,NI.la.ša.mar[]PN,PPAC 4 154 o 3 (copy/photo)
NI-la-la,Ilala[]PN,
NI-la-ti-a,Ilatiʾa[]PN,
NI-mu,NI.ŋu₁₀[]PN,
NI-mu-ta,NI.ŋu₁₀[]PN,
NI-ta,NI[]PN,PDT 1 527 r 11 (no copy/photo)
NI-tam-ma,Itama[]PN,
NI-tam-ma-ta,Itama[]PN,
NI-u₂-rum,NI.u₂.rum[]PN,SumTemDocs. 19 o 5 (copy)
NI.AN-bi₂-i₃-lum,NI.AN.NE.i₃.lum[]PN,Martu; TCL 2 5508 o 11 (copy/photo)
NI.AN-bu-li,NI.AN.bu.li[]PN,Martu; TCL 2 5508 o 7 (copy/photo)
NI.HI{ki},NI.HI{ki}[]SN,
NI.IG-ma,Niqma[]PN,uncertain (< niqmu 'Mari MN'?); PDT 2 1077 o 3 (no copy/photo)
NI.UD-ma-ta,Itama[]PN,
NIM-še₃,Elam[]GN,some refs may be adverbial/directional
NIM-e-ne-še₃,Elam[]GN,
NIM-me,Elam[]GN,
NIM-zi-um{ki},Nimṣiʾum[]SN,
NINA{ki},Niŋin[]SN,
NU-i₃-li₂,X.i₃.li₂[]PN,OrSP 05 54 19 Wengler 27 r 18: mu-DU AN?/NU?-i3-li2 (copy)
Na-DI,Nadi[]PN,< Akk. nadû?
Na-DI-ta,Nadi[]PN,
Na-a-na,Nana[]PN,
Na-ab-ša-nu-um,Nabšanum[]PN,
Na-ab-li-is-E₂-a,NaplisEa[]PN,
Na-ab-li₂-is-E₂-a,NaplisEa[]PN,
Na-ab-ni-ii-e₂-a,NaplisEa[]PN,typo; BIN 5 029 r 4: 1 udu Na-ap-li2-is-E2-a (copy)
Na-ab-ri₂-um,Nabriʾum[]PN,
Na-ab-ri₂-um-še₃,Nabriʾum[]PN,
Na-ab-ri₂-um-ka,Nabriʾum[]PN,
Na-ah-bi-ir-MU,Nahbir[]PN,STA 36 o 4: mu-DU Na-ah-bi-ir MU# (muhaldim?; copy)
Na-ah-šu-a,Nahšuʾa[]PN,
Na-ah-šum-BALA,Nahšumpalum[]PN,"or, Nahšumpala? ('prosperous is the reign')"
Na-ah-šum-BALA{la},Nahšumpalum[]PN,
Na-ah-šum-bala,Nahšumpalum[]PN,
Na-ah-ha-ma-tal,Nahamatal[]PN,= Nahapatal? (Hurrian); MVN 15 142 r 1 (copy/photo)
Na-ak-da-ma-ri,Nakdamatal[]PN,Hurrian; TCL 2 5500 r i 1 (copy/photo)
Na-an-na,Na.an.na[]PN,"NaʾAnak 'man of An'?, syll for {d}Nanna?, hypo?"
Na-ap-la-nu-um,Naplanum[]PN,
Na-ap-la-nu-um-še₃,Naplanum[]PN,
Na-ap-la-num,Naplanum[]PN,PDT 1 579 o 1 (no copy/photo); CDLI: na-ap-la-num2?
Na-ap-la-num₂,Naplanum[]PN,
Na-ap-la-num₂-še₃,Naplanum[]PN,
Na-ap-la-zum,Naplaṣum[]PN,uncertain; Nik. 2 487 o 5 (copy)
Na-ap-sa-nu-um,Napsanum[]PN,
Na-ba-li₂-is-E₂-a,NaplisEa[]PN,
Na-ba-sa₂,Nabasa[]PN,
Na-ba-sa₆,Nabasag[]PN,
Na-ba-sa₆-ta,Nabasag[]PN,
Na-bi-lu₅,Nagalu[]PN,"BCT 1 130 r 14 (copy/photo), BJRL 08 409 JR 505 r 2 (copy/photo)"
Na-bi-{d}En-lil₂,NabiEnlil[]PN,
Na-bi-{d}Suen,NabiSuʾen[]PN,
Na-bi₂-a,Nabiʾa[]PN,
Na-bi₂-um,Nabiʾum[]PN,
Na-bi₂-{d}Šul-gi,NabiŠulgi[]PN,
Na-bi₂-{d}En-lil₂,NabiEnlil[]PN,
Na-bi₂-{d}En-lil₂-la₂,NabiEnlil[]PN,MVN 03 294 o 3f: Na-bi2-{d}En-lil2-la2 / šu ba-an-ti (copy/photo)
Na-bi₂-{d}Suen,NabiSuʾen[]PN,
Na-bi₂-{d}Suen-ta,NabiSuʾen[]PN,
Na-da,Nada[]PN,
Na-du-be-li₂,Nadubeli[]PN,Martu (Nadubaʾli?)
Na-du-be₂-li₂,Nadubeli[]PN,typo; CTMMA 1 17 r i 22: Na-du-be-li2 ensi2 Ma2-gan{ki} (copy)
Na-ga-lu₅,Nagalu[]PN,BCT 1 131 o 4 (copy/photo)
Na-gi₄-zu,Nagizu[]PN,
Na-gu-du,Nagudu[]PN,
Na-ha-nu-um,Nahanum[]PN,
Na-ha-pa₂-tal,Nahapatal[]PN,= Nahamatal? (Hurrian)
Na-he₂-zi,Na.GAN.zi[]PN,MVN 11 140 o 13 (copy/photo)
Na-hi-mu-um,Nahmum[]PN,uncertain; MVN 18 098 o 2: lu2 Na-ah?/hi?-mu-um (copy/photo)
Na-lu-ta,Nalu[]PN,typo; SET 105 o ii 14 (LU for LU5; photo)
Na-lu-uk,Nalug[]PN,TAD 67 o 4: Na-lu-ug?# (possibly UG2; copy)
Na-lu₂-ta,Nalu[]PN,
Na-lu₅,Nalu[]PN,Nalug? (no Na-lu5-ge/ga occurs)
Na-lu₅-še₃,Nalu[]PN,
Na-lu₅-ta,Nalu[]PN,
Na-lu₅-ug₂,Nalug[]PN,PDT 2 0807 o ii 3 (no copy/photo)
Na-lul,Nalu[]PN,
Na-me-er,Nawir[]PN,ZA 80 28 r 5 (copy/photo)
Na-me-er-DINGIR,Nawirili[]PN,"or, Nawirilum?"
Na-me-iš-me-DINGIR,Na.me.iš.me.DINGIR[]PN,Martu; Nisaba 08 091 o ii 5 (no copy/photo)
Na-mu,Naŋu[]PN,
Na-mu-tum,Namutum[]PN,
Na-na-ki-ga-ga,Nanakigaga[]PN,TRU 041 r 3 (copy/photo)
Na-na-mu,Nanaŋu[]PN,
Na-na-u₃,Nanaʾu[]PN,< Uršu
Na-ni-bu,Nanipu[]PN,Hurrian?; OIP 121 428 o i 1 (copy/photo)
Na-ni-pa₂-tal,Nanipatal[]PN,Hurrian; OIP 121 428 o i 2 (copy/photo) & elsewhere
Na-ra-am-E₂-a,NaramEa[]PN,
Na-ra-am-i₃-li₂,Naramili[]PN,
Na-ra-am-i₃-li₂-ka,Naramili[]PN,
Na-ra-am-i₃-li₂-ta,Naramili[]PN,
Na-ra-am-{d}IŠKUR,NaramAdad[]PN,
Na-ra-am-{d}Iškur,NaramAdad[]PN,
Na-ra-am-{d}Suen,NaramSuʾen[]PN,
Na-ra-mu,Naramu[]PN,"uncertain; CBCY 3, NBC 10045 seal: Na-ra-mu? (no copy/photo)"
Na-sa₆,Nasag[]PN,
Na-sa₆-ga,Nasag[]PN,
Na-sa₆-ka,Nasag[]PN,
Na-sa₆-ra,Nasag[]PN,
Na-sa₆-ta,Nasag[]PN,
Na-ti,Nati[]PN,= Natiʾum?
Na-ti-um,Natiʾum[]PN,= Nati?
Na-wa-ar-še-en,Nawaršen[]PN,Hurrian
Na-wa-ar{ki},Nawar[]SN,
Na-wa-ar{ki}-ta,Nawar[]SN,
Na-wi-ir-DINGIR,Nawirili[]PN,"or, Nawirilum?"
Na-wi-ir-DINGIR-ta,Nawirili[]PN,
Na-wi-ir-{d}UTU,NawirŠamaš[]PN,
Nam-ha-ni,Namhani[]PN,
Nam-ha-ni-bi,Namhani[]PN,"SET 096 o ii 33, 48, iii 56, 69: kišib Nam-ha-ni-bi ba-zi-ir (no copy/photo)"
Nam-ha-ni-ta,Namhani[]PN,
Nam-lugal-ni-du₁₀,Namlugalanidug[]PN,
Nam-mah,Nammah[]PN,
Nam-mah-{d}Ba-u₂,NammahBaʾu[]PN,
Nam-nin-e-he₂-du₇,Namninehedu[]PN,
Nam-ti-eš₃-ta,Namtilešta[]PN,
Nam-tur,Namtur[]PN,
Nam-zi-tar-ra,Namzitara[]PN,
Nam-zi-tar-ra-ta,Namzitara[]PN,
Nanna,Nanna[]DN,
Nar-zi,Narzi[]PN,uncertain; never occurs with /d/ or /g/ auslaut
Nar-zi-ta,Narzi[]PN,
Ne-be₂-er-{d}Amar-{d}Suen{ki},NeberAmarSuʾen[]SN,
Ne-be₂-er-{d}Šul-gi-ra,NeberŠulgi[]SN,
Ne-be₂-ru-um{ki},Neberum[]SN,
Ne-gi-ne-hu-um-ki,Tikitinhum[]SN,
Ne-im-zi-im,Nimṣiʾum[]SN,Nimṣum?
Ne-ra-ti,Birati[]PN,
Ne-sag-i₃-sa₆,Nesaŋisag[]PN,
Ni-ba-ša₅,Nibaša[]PN,
Ni-da-u₃-hi,Nidaʾuhi[]PN,
Ni-hi{ki},NI.HI{ki}[]SN,
Ni-iš-te-ni,Ništeni[]PN,< Kimaš
Ni-ih-e-lu,Nihelu[]PN,Martu
Ni-im-zi,Nimzi[]PN,Nimṣi? (= Nemzum?)
Ni-kab{ki},Nikab[]SN,
Ni-la-ti-a,Nilatiʾa[]PN,Martu
Ni-li-e,Niliʾe[]PN,Martu
Ni-mu-du,Nimudu[]PN,
Ni-na-wi-ir,Inawwir[]PN,uncertain; PDT 2 0807 o ii 12 (no copy/photo)
Ni-ni-ta,NI.NI[]PN,Nisaba 08 034 o ii 15' (no copy/photo)
Ni-nu-a-še₃,Ninua[]SN,
Ni-nu-a{ki},Ninua[]SN,
Ni-nu₂-a{ki},Ninua[]SN,
Ni-ra:da-aš-we{ki},Niradašwe[]SN,Hurrian genitive
Ni-tam-ma,Itama[]PN,
Ni-zi-id-a-nu-um,Nizidanum[]PN,Martu
Nibru,Nibru[]SN,
Nibru-še₃,Nibru[]SN,
Nibru-ki,Nibru[]SN,
Nibru.ki,Nibru[]SN,
Nibruki,Nibru[]SN,
Nibru{ki},Nibru[]SN,
Nibru{ki}-a,Nibru[]SN,
Nibru{ki}-še₃,Nibru[]SN,
Nibru{ki}-ka,Nibru[]SN,
Nibru{ki}-ka-še₃,Nibru[]SN,
Nibru{ki}-me,Nibru[]SN,
Nibru{ki}-ta,Nibru[]SN,
Nig₂-bi,Niŋbi[]PN,
Nig₂-du₁₁-ga-ni,Niŋdugani[]PN,
Nig₂-erim₂-ga-sug-ga,Niŋerimgasuga[]PN,
Nig₂-gur₁₁-in-zu,Niŋgurinzu[]PN,
Nig₂-lagar-e,Niŋlagare[]PN,
Nig₂-mu-mu-kal-le,Niŋŋumukale[]PN,
Nig₂-sa₆-ga,Niŋsaga[]PN,
Nig₂-si-sa₂-e,Niŋsisaʾe[]PN,
Nig₂-u₂-rum,Niŋurum[]PN,
Nig₂-{d}Ba-u₂,NiŋBaʾuk[]PN,
Nig₂-{d}Ba-u₂-gen₇-ta,NiŋBaʾukgin[]PN,
Nig₂-{d}Ba-u₂-ke₄,NiŋBaʾuk[]PN,
Nigar{gar}-ki-du₁₀[]PN,Niŋarkidug[]PN,
Nim-zi₂-um{ki},Nimṣiʾum[]SN,
Nimgir-DI.NE,Niŋirdide[]PN,uncertain
Nig₂-erim₂-ga-ru-ga,Niŋerimgaruga[]PN,
Nimgir-inim-ge-na,Niŋirinimginak[]PN,
Nin-IG-DUL₃,Nin.IG.SAG@g[]PN,UDT 097 r 6 (copy/photo)
Nin-NE-na-BA,Ninbinaba[]PN,uncertain; PDT 1 335 r 4 (no copy/photo)
Nin-TE,Nin.TE[]PN,
Nin-a-na,Ninanak[]PN,"or, Ninana? (121 Girsu, 1 PD)"
Nin-a-zu,Ninazu[]DN,
Nin-a₂-zi-da,Ninazida[]PN,"or, Ninazidak?"
Nin-šu-gi₄-gi₄,Ninšugigi[]PN,
Nin-ha-ma-ti,Ninhamatil[]PN,
Nin-he₂-du₇,Ninhedu[]PN,
Nin-he₂-gal₂-,Ninheŋal[]PN,typo; UTI 6 3757 r 11 (no copy/photo)
Nin-hur-sag,Ninhursaŋak[]DN,
Nin-inim-ge-na,Nininimginak[]PN,
Nin-kal-la,Ninkala[]PN,
Nin-kal-la-še₃,Ninkala[]PN,
Nin-ku₃-zu,Ninkugzu[]PN,
Nin-lil₂-ama-mu,Ninlilamaŋu[]PN,
Nin-lil₂-la₂,Ninlil[]DN,
Nin-mu-kuX,Nin.mu.DU[]PN,PDT 2 1050 r 14 (no copy/photo)
Nin-u₃-kul-e-ki-ag₂,Ninukulekiʾaŋ[]PN,
Nin-u₃-kul-ki-ag₂,Ninukulekiʾaŋ[]PN,
Nin-u₃-ma,Ninuma[]PN,Ninumak?
Nin-uru-ni-še₃-ta,Niniriniše[]PN,
Nin-{u₂}kul-ne₂-ki-ag₂,Ninukulekiʾaŋ[]PN,
Nin₉-kal-la,Ninkala[]PN,
Nin₉-tur-tur,Ninturtur[]PN,
Nin₉-tur-tur-še₃,Ninturtur[]PN,
Nin₉-tur-tur-ra,Ninturtur[]PN,
Nippur{ki},Nibru[]SN,
Nir-i₃-da-gal₂,Niridaŋal[]PN,
Nir-i₃-da-gal₂-ta,Niridaŋal[]PN,
Nir₃-i₃-da-gal₂,Niridaŋal[]PN,typo; RA 10 210 BM 103413 o ii 28 (NIR3 for NIR; copy)
Nita-mu,Ušŋu[]PN,
Nu-ba-an,Nuban[]PN,
Nu-da-tum,Nudatum[]PN,
Nu-ga-ar{ki},Nugar[]SN,
Nu-gi-ra-nu-um,Nugiranum[]PN,Martu
Nu-hi-DINGIR,Nuhilum[]PN,
Nu-hi-DINGIR-ta,Nuhilum[]PN,
Nu-hi-lum,Nuhilum[]PN,
Nu-hi-lum-ta,Nuhilum[]PN,
Nu-i-da,Nuʾida[]PN,
Nu-i₃-da,Nuʾida[]PN,
Nu-i₃-da-še₃,Nuʾida[]PN,
Nu-i₃-da-ke₄-ne-še₃,Nuʾida[]PN,
Nu-i₃-da-ta,Nuʾida[]PN,
Nu-me-ur-zu,Numetešzu[]PN,
Nu-mu-du-um,Numudum[]PN,
Nu-ri-a-a,Nuriʾaya[]PN,hypo?
Nu-tin-DINGIR,Nuhilum[]PN,
Nu-tur,Nutur[]DN,epithet of Ninhursaŋ
Nu-tur-ra,Nutur[]DN,
Nu-u₃-tur,Nutur[]DN,
Nu-uk-ra-nu-um,Nukranum[]PN,Martu
Nu-ur-i₃-li₂,Nurili[]PN,
Nu-ur-{d}Suen,NurSuʾen[]PN,"typo; Nisaba 15/2 0708 r 1 (UR for UR2; photo), PPAC 4 078 r 4 (UR for UR2; copy/photo)"
Nu-ur₂-Eš₄-tar₂,NurEštar[]PN,86 PD entries; likely all have EŠ18(AŠ@z) not EŠ4(DIŠ)
Nu-ur₂-Ma-ma,NurMama[]PN,
Nu-ur₂-i₃-li₂,Nurili[]PN,
Nu-ur₂-i₃-li₂-ta,Nurili[]PN,
