transliteration,normalization,sign_names,remarks
Lugal-dingir-ra-ta,Lugaldiŋira[]PN,LUGAL AN RA TA,
Lugal-du₁₀-ga,Lugalduga[]PN,LUGAL HI GA,
Lugal-dub-la₂-ta,Lugaldubla[]PN,LUGAL DUB LAL TA,
Lugal-dub-sar,Lugaldubsar[]PN,LUGAL DUB SAR,
Lugal-dumu-še₃,Lugaldumugir[]PN,LUGAL TUR EŠ₂,
Lugal-dumu-gir₁₅,Lugaldumugir[]PN,LUGAL TUR EŠ₂,
Lugal-dumu-gir₁₅-ta,Lugaldumugir[]PN,LUGAL TUR EŠ₂ TA,
Lugal-dur₂,Lugaldur[]PN,LUGAL KU,
Lugal-dur₂-du₁₀,Lugaldurdug[]PN,LUGAL KU HI,
Lugal-dur₂-ta,Lugaldur[]PN,LUGAL KU TA,
Lugal-e,Lugale[]PN,LUGAL E,hypo?
Lugal-e₂-mah,Lugalemah[]PN,LUGAL E₂ MAH,
Lugal-e₂-mah-e,Lugalemahe[]PN,LUGAL E₂ MAH E,
Lugal-en-na,Lugalena[]PN,LUGAL EN NA,'king is a lord' (for Lugalenam?); Santag 7 115 o 3 (copy)
Lugal-en-u₃-tu,Lugalenutud[]PN,LUGAL EN IGI DIB TU,
Lugal-engar,Lugalengar[]PN,LUGAL APIN,
Lugal-engar-du₁₀,Lugalengardug[]PN,LUGAL APIN HI,
Lugal-engar-du₁₀-ta,Lugalengardug[]PN,LUGAL APIN HI TA,
Lugal-engar-e,Lugalengare[]PN,LUGAL APIN E,
Lugal-engar-zi,Lugalengarzid[]PN,LUGAL APIN ZI,
Lugal-ezem,Lugalezem[]PN,LUGAL EZEN,
Lugal-ezem-e,Lugalezem[]PN,LUGAL EZEN E,
Lugal-ezem-ma,Lugalezem[]PN,LUGAL EZEN MA,
Lugal-ezem-ta,Lugalezem[]PN,LUGAL EZEN TA,
Lugal-gaba,Lugalgaba[]PN,LUGAL GABA,
Lugal-ge-na,Lugalgina[]PN,LUGAL GI NA,
Lugal-giškim-zi,Lugalŋiškimzid[]PN,LUGAL IGI DUB ZI,
Lugal-gu₂-du₁₀,Lugalgudug[]PN,LUGAL GU₂ HI,
Lugal-gu₂-en-e,Lugalguʾene[]PN,LUGAL GU₂ EN E,
Lugal-ha-ma-ti,Lugalhamatil[]PN,LUGAL HA MA TI,
Lugal-ha-ma-ti-še₃,Lugalhamatil[]PN,LUGAL HA MA TI EŠ₂,
Lugal-ha-ma-ti-ta,Lugalhamatil[]PN,LUGAL HA MA TI TA,
Lugal-he₂-gal₂,Lugalheŋal[]PN,LUGAL GAN IG,
Lugal-he₂-gal₂-še₃,Lugalheŋal[]PN,LUGAL GAN IG EŠ₂,
Lugal-he₂-gal₂-la,Lugalheŋal[]PN,LUGAL GAN IG LA,
Lugal-he₂-gal₂-ta,Lugalheŋal[]PN,LUGAL GAN IG TA,
Lugal-i₃-mah,Lugalimah[]PN,LUGAL NI MAH,
Lugal-i₃-sa₆,Lugalisag[]PN,LUGAL NI ŠA₆,
Lugal-i₃-sa₆-ta,Lugalisag[]PN,LUGAL NI ŠA₆ TA,
Lugal-i₃-ti,Lugalitil[]PN,LUGAL NI TI,
Lugal-i₃-ti-še₃,Lugalitil[]PN,LUGAL NI TI EŠ₂,
Lugal-ibila,Lugalibila[]PN,LUGAL TUR UŠ,
Lugal-igi-du,Lugalpalil[]PN,LUGAL IGI DU,
Lugal-igi-huš,Lugaligihuš[]PN,LUGAL IGI HI GIR₃,
Lugal-im-ri-a,Lugalimrua[]PN,LUGAL IM RI A,AUCT 1 300 o 5 (copy/photo)
Lugal-im-ru-a,Lugalimrua[]PN,LUGAL IM RU A,
Lugal-im-ru-a-ta,Lugalimrua[]PN,LUGAL IM RU A TA,
Lugal-inim-du₁₀,Lugalinimdugak[]PN,LUGAL KA HI,
Lugal-inim-ge-na,Lugalinimginak[]PN,LUGAL KA GI NA,
Lugal-inim-ge-na-še₃,Lugalinimginak[]PN,LUGAL KA GI NA EŠ₂,
Lugal-inim-ge-na-ke₄,Lugalinimginak[]PN,LUGAL KA GI NA KID,
Lugal-iti-da,Lugalituda[]PN,LUGAL |UD×(U.U.U)| DA,'king is (new) moon'?; doesn't seem to be gen
Lugal-iti-da-ta,Lugalituda[]PN,LUGAL |UD×(U.U.U)| DA TA,
Lugal-ki-ag₂,Lugalkiʾaŋ[]PN,LUGAL KI |NINDA₂×NE|,
Lugal-ku₃-ga-ni,Lugalkugani[]PN,LUGAL KU₃ GA NI,
Lugal-ku₃-ga-ni-ta,Lugalkugani[]PN,LUGAL KU₃ GA NI TA,
Lugal-ku₃-zu,Lugalkugzu[]PN,LUGAL KU₃ ZU,
Lugal-ku₃-zu-e,Lugalkugzu[]PN,LUGAL KU₃ ZU E,uncertain; UTI 6 3800 o iii 6' (no copy/photo)
Lugal-ku₃-zu-ka,Lugalkugzu[]PN,LUGAL KU₃ ZU KA,
Lugal-ku₃-zu-ke₄,Lugalkugzu[]PN,LUGAL KU₃ ZU KID,
Lugal-ku₃-zu-ta,Lugalkugzu[]PN,LUGAL KU₃ ZU TA,
Lugal-ma₂-gur₈-re,Lugalmagure[]PN,LUGAL MA₂ TE@G RI,
Lugal-ma₂-gur₈-re-še₃,Lugalmagure[]PN,LUGAL MA₂ TE@G RI EŠ₂,
Lugal-ma₂-gur₈-re-ta,Lugalmagure[]PN,LUGAL MA₂ TE@G RI TA,
Lugal-mah-{d}Šara₂,LugalmahŠara[]PN,LUGAL MAH AN |LAGAB×IGI@G|,'a magnificent king is Shara'?
Lugal-mas-su₂,Lugalmassu[]PN,LUGAL MAŠ ZU,
Lugal-me-a,Lugalmeʾa[]PN,LUGAL ME A,doesn't seem to be gen; sandhi of Lugalmeʾeʾa?
Lugal-me-e₃-a,Lugalmeʾeʾa[]PN,LUGAL ME UD DU A,
Lugal-me-e₃-a-ta,Lugalmeʾeʾa[]PN,LUGAL ME UD DU A TA,
Lugal-me-lam₂,Lugalmelim[]PN,LUGAL ME NE,
Lugal-me-lam₂-ta,Lugalmelim[]PN,LUGAL ME NE TA,
Lugal-me₃-ta,Lugalmek[]PN,LUGAL |AK×ERIN₂| TA,
Lugal-mu-ma-dingir-ag₂,Lugalŋumanaŋ[]PN,LUGAL MU MA AN |NINDA₂×NE|,
Lugal-mu-ni-zi,Lugalmunizi[]PN,LUGAL MU NI ZI,"Lugalmunizig 'the king has raised (me?) there'?, Lugalŋuʾizid 'my king has been faithful'?"
Lugal-nam-tar-re,Lugalnamtare[]PN,LUGAL NAM TAR RI,
Lugal-nam-tar-re-ra,Lugalnamtare[]PN,LUGAL NAM TAR RI RA,
Lugal-nemurX,Lugalnemur[]PN,LUGAL NEMURX,
Lugal-nesag-e,Lugalnesaŋe[]PN,LUGAL NISAG E,
Lugal-ni,Lugalani[]PN,LUGAL NI,
Lugal-nig₂-lagar-e,Lugalniŋlagare[]PN,LUGAL GAR LAGAR E,
Lugal-nig₂-lagar-e-ta,Lugalniŋlagare[]PN,LUGAL GAR LAGAR E TA,
Lugal-nig₂-si-sa₂-e,Lugalniŋsisaʾe[]PN,LUGAL GAR SI DI E,
Lugal-nimgir,Lugalniŋir[]PN,LUGAL DUN₃@G@G,
Lugal-nir-gal₂,Lugalnirŋal[]PN,LUGAL |NUN&NUN| IG,
Lugal-nir-gal₂-ke₄,Lugalnirŋal[]PN,LUGAL |NUN&NUN| IG KID,uncertain; JSOR 13 179 48 r 5: Lugal-nir-ŋal2-ke4?#/e?# i3-dab5 (copy)
Lugal-nir-gal₂-ta,Lugalnirŋal[]PN,LUGAL |NUN&NUN| IG TA,
Lugal-pa-e₃,Lugalpaʾe[]PN,LUGAL PA UD DU,
Lugal-pa-e₃-ta,Lugalpaʾe[]PN,LUGAL PA UD DU TA,
Lugal-sa₆-ga,Lugalsaga[]PN,LUGAL ŠA₆ GA,
Lugal-sagi,Lugalsagi[]PN,LUGAL SILA₃ ŠU GABA,MVN 13 431 o 4 (copy/photo)
Lugal-si-gar-ta,Lugalsiŋar[]PN,LUGAL SI GAR TA,
Lugal-si-sa₂,Lugalsisa[]PN,LUGAL SI DI,
Lugal-si-sa₂-ta,Lugalsisa[]PN,LUGAL SI DI TA,
Lugal-ti-da,Lugaltida[]PN,LUGAL TI DA,
Lugal-ti-ra-aš₂,LugalTiraš[]PN,LUGAL TI RA AŠ₂,
Lugal-ti-ra-aš₂-še₃,LugalTiraš[]PN,LUGAL TI RA AŠ₂ EŠ₂,
Lugal-tur-še₃,Lugalbandaše[]PN,LUGAL TUR EŠ₂,
Lugal-u₂-šim-e,Lugalušime[]PN,LUGAL U₂ ŠIM E,
Lugal-u₂-šim-e-ta,Lugalušime[]PN,LUGAL U₂ ŠIM E TA,
Lugal-u₂-u₂,LugalUʾu[]PN,LUGAL U₂ U₂,
Lugal-u₄-da-DI-a,Lugaludasaʾa[]PN,LUGAL UD DA DI A,
Lugal-u₄-su₃,Lugaludsudše[]PN,LUGAL UD SUD,uncertain; Nisaba 08 091 iii 8 (no copy/photo)
Lugal-u₄-su₃-AŠ,Lugal.ud.sud.AŠ[]PN,LUGAL UD SUD AŠ,Lugaludsudše; Nik. 2 481 o iii 29 (copy)
Lugal-u₄-su₃-še₃,Lugaludsudše[]PN,LUGAL UD SUD EŠ₂,
Lugal-u₄-su₃-še₃-ta,Lugaludsudše[]PN,LUGAL UD SUD EŠ₂ TA,
Lugal-ušumgal,Lugalušumgal[]PN,LUGAL GAL BUR₂,
Lugal-ušumgal-ta,Lugalušumgal[]PN,LUGAL GAL BUR₂ TA,
Lugal-ušur₃,Lugalušur[]PN,LUGAL LAL₂ LAGAB,uncertain if LALxLAGAB or LAL2xLAGAB; BIN 3 336 seal (no copy/photo); PDT 2 1243 r i 11 (no copy/photo)
Lugal-ušur₄,Lugalušur[]PN,LUGAL LAL LAGAB,
Lugal-ušur₅LA₂+NIGIN,Lugalušur[]PN,LUGAL UŠUR₅LA₂ LAGAB LAGAB,JCS 52 07 03 r 18: 12 maš2 Lugal-ušur4 (copy/photo)
Lugal-unken-ne₂,Lugalunkine[]PN,LUGAL |URU×BAR| NI,
Lugal-ur-sag,Lugalursaŋ[]PN,LUGAL UR SAG,
Lugal-ur₂-ra-ni,Lugalurani[]PN,LUGAL UR₂ RA NI,hypo?
Lugal-uru-da,Lugalirida[]PN,LUGAL URU DA,
Lugal-uru-mu,Lugaliriŋu[]PN,LUGAL URU MU,
Lugal-usar₄,Lugalušur[]PN,LUGAL LAL LAGAB,
Lugal-za₃-e₃,Lugalzage[]PN,LUGAL ZAG UD DU,
Lugal-za₃-ge-si,Lugalzagesi[]PN,LUGAL ZAG GI SI,
Lugal-zi-da,Lugalzida[]PN,LUGAL ZI DA,
Lugal-zi-mu,Lugalziŋu[]PN,LUGAL ZI MU,
Lugal-zuluhu₂,Lugal.SIK₂.BU[]PN,LUGAL SIK₂ BU,
Lugal-{d}Nanna,LugalNanna[]PN,LUGAL AN ŠEŠ KI,"8 citations, no evidence of gen"
Lugal-{d}Nanna-ke₄,LugalNanna[]PN,LUGAL AN ŠEŠ KI KID,"scribal mistake?; AAICAB 1/3, Bod. A 015 r 3f: Lugal-{d}Utu-ke4 / šu-ba-an-ti (copy/photo)"
Lugal-{d}Utu,LugalUtu[]PN,LUGAL AN UD,
Lugal-{d}Utu-ta,LugalUtu[]PN,LUGAL AN UD TA,
MA-ni-{d}IŠKUR,MA.ni.{d}IŠKUR[]PN,MA NI AN IM,uncertain; OrSP 05 53 17 Wengler 25 r 7 (no copy/photo)
MA₂'-mu-ta,MA₂.MU[]PN,MA₂' MU TA,uncertain; SET 109 o 5 (no copy/photo)
ME-E₂-a,ME.E₂.a[]PN,ME E₂ A,Sum. or Akk.?; ME+DN entries are Akk. hypo '(epithet/adj/vb)-the-rites-of-DN'?
ME-Eš₁₈-tar₂,ME.Eš₁₈.tar₂[]PN,ME AŠ@Z DAR,
ME-Eš₄-tar₂,ME.Eš₁₈.tar₂[]PN,ME DIŠ DAR,all PD entries have eš₁₈(AŠ@z) not eš₄(DIŠ)
ME-{d}LUGAL,Simatšarrim[]PN,ME AN LUGAL,
ME-{d}Šul-gi,ME.{d}Šul.gi[]PN,ME AN DUN GI,
ME-{d}Šul-gi-ra-ta,ME.{d}Šul.gi[]PN,ME AN DUN GI RA TA,
ME-{d}Eš₄-tar₂,ME.{d}Eš₁₈.tar₂[]PN,ME AN DIŠ DAR,BCT 2 246 o 2 (eš₁₈(AŠ@z) not eš₄(DIŠ); copy/photo)
ME-{d}Ištar-še₃,ME.{d}Eš₁₈.tar₂[]PN,ME AN MUŠ₃ EŠ₂,BIN 3 358 r 1: ME-{d}eš₁₈-tar₂ (copy/photo)
ME-{d}Ištaran,ME.{d}Ištaran[]PN,ME AN KA DI,
ME-{d}Ištaran-še₃,ME.{d}Ištaran[]PN,ME AN KA DI EŠ₂,
ME-{d}Ištaran-e,ME.{d}Ištaran[]PN,ME AN KA DI E,
ME-{d}Ištaran-na,ME.{d}Ištaran[]PN,ME AN KA DI NA,may be dative; ASJ 04 140 01 r 7 (copy)
ME-{d}Istaran,ME.{d}Ištaran[]PN,ME AN ISTARAN,
ME-{d}KA.DI,ME.{d}Ištaran[]PN,ME AN KA DI,
ME-{d}Nanna,ME.{d}Nanna[]PN,ME AN ŠEŠ KI,
ME-{d}Nin-šubur,ME.{d}Nin.šubur[]PN,ME AN SAL TUG₂ ŠUBUR,
ME-{d}Nin-isin₂{si},ME.{d}Nin.isin₂{si}[]PN,ME AN SAL TUG₂ IN SI,
ME-{d}Nisaba,ME.{d}Nisaba[]PN,ME AN ŠE NAGA,
ME-{d}Nisaba-me,ME.{d}Nisaba[]PN,ME AN ŠE NAGA ME,
MI-na-mu,MI.na.MU[]PN,MI NA MU,
MIN-{d}Nin-lil₂,PuzurNinlil[]PN,MIN AN SAL TUG₂ KID,uncertain; BIN 3 610 o 5: U#.U-{d}Nin-lil₂ (copy)
Ma-a-ma,Mama[]PN,MA A MA,
Ma-aš-hu-un-da-hi-li,Mašhuntahli[]PN,MA AŠ HU UN DA HI LI,f of Me-ra-ah-{d}Šul-gi; PDT 1 529 r iii 15 (no copy/photo)
Ma-aš-hu-un-tah-li,Mašhuntahli[]PN,MA AŠ HU UN |MU&MU| LI,f of Me-ra-ah-{d}Šul-gi; MVN 13 695 o 7 (copy/photo)
Ma-ah-li{ki},Mahili[]SN,MA |HI×NUN| LI KI,RA 08 192 13 o 3 (AH; copy); Santag 7 114 o 3 (HI; copy)
Ma-al-ku,Malku[]PN,MA AL KU,CST 398 o 2 (photo); TCL 2 5483 o 24 (likely SN; copy/photo)
Ma-al-ku-um-še₃,Malkum[]DN,MA AL KU UM EŠ₂,
Ma-al-kum-še₃,Malkum[]DN,MA AL GUM EŠ₂,
Ma-al-kum-ma,Malkum[]DN,MA AL GUM MA,
Ma-al-ku{ki}-me,Malku[]SN,MA AL KU KI ME,
Ma-an-na,Manna[]PN,MA AN NA,
Ma-an-nu-a,Mannuʾa[]PN,MA AN NU A,
Ma-an-num₂-an-num₂-ki-{d}Šul-gi,MannumkiŠulgi[]PN,MA AN LUM AN LUM KI AN DUN GI,PDT 1 550 r 5 (no copy/photo); CDLI: ma-an-num2-ki-{d}šul-gi
Ma-an-num₂-an-num₂-ki-{d}Šul-gi-ra-ta,MannumkiŠulgira[]PN,MA AN LUM AN LUM KI AN DUN GI RA TA,SET 012 o 4 (no copy/photo); CDLI: ki ma-an-num2-ki-{d}šul-gi-ra-ta
Ma-an-sum,Manšum[]PN,MA AN SUM,
Ma-an-sum-ta,Manšum[]PN,MA AN SUM TA,
Ma-ar-da-ma-an{ki},Mardaman[]SN,MA IGI RI DA MA AN KI,
Ma-ar-da-ma-na{ki},Mardaman[]SN,MA IGI RI DA MA NA KI,
Ma-ar-hu-ni,Marhuni[]PN,MA IGI RI HU NI,< Harši
Ma-as-SUHUR-a{ki},Ma.as.SUHUR.a{ki}[]SN,MA |PIRIG×ZA| SUHUR A KI,PDT 2 0918 o ii 24 (no copy/photo)
Ma-at-DINGIR,Matili[]PN,MA AD AN,
Ma-at-gi₄-gi₄,Matgigi[]PN,MA AD GI₄ GI₄,uncertain (< Irisaŋrig)
Ma-at-i₃-li₂,Matili[]PN,MA AD NI NI,
Ma-at-i₃-li₂-ta,Matili[]PN,MA AD NI NI TA,
Ma-az-bi-um,Mazbium[]PN,MA |PIRIG×ZA| BI UM,uncertain; Princeton 2 506 o ii 30': Ma-az-bi#-[um?] (photo)
Ma-ša-tum{ki},Mašatum[]SN,MA ŠA TUM KI,
Ma-šum,Mašum[]PN,MA TAG,
Ma-šum-ta,Mašum[]PN,MA TAG TA,
Ma-šu-IŠ-AN,Ma.šu.IŠ.AN[]PN,MA ŠU IŠ AN,
Ma-da-ti,Madati[]PN,MA DA TI,
Ma-da-ti-na,Madatina[]PN,MA DA TI NA,
Ma-di₃-na-ad,Madinad[]PN,MA TI NA AD,Martu
Ma-du-um,Madum[]PN,MA DU UM,
Ma-hi-li{ki},Mahili[]SN,MA HI LI KI,
Ma-ku-ku,Makuku[]PN,MA KU KU,
Ma-la-hu-um,Malahhum[]PN,MA LA HU UM,
Ma-li-a,Maliʾa[]PN,MA LI A,
Ma-li-kum,Malikum[]PN,MA LI GUM,Martu
Ma-lik-e₂-a,MalikEa[]PN,MA UR E₂ A,
Ma-ma,Mama[]PN,MA MA,
Ma-ma-AB₂,Ma.ma.HI.NI[]PN,MA MA AB₂,MVN 13 478 seal 2: dumu Ma-ma-hi-li2 (copy/photo)
Ma-ma-a,Mama[]PN,MA MA A,"or, Mamaʾa/Mamaya?"
Ma-ma-šar-ra-at,Mamašarrat[]PN,MA MA SAR RA AD,
Ma-ma-hir,Mamahir[]PN,MA MA KEŠ₂,
Ma-ma-hir-ke₄-ne,Mamahir[]PN,MA MA KEŠ₂ KID NE,
Ma-ma-il-šu,Mamaʾilšu[]PN,MA MA IL ŠU,
Ma-na-a,Mana[]PN,MA NA A,"or, Manaʾa/Manaya?"
Ma-na-na,X.na.na[]PN,MA NA NA,CDLI P387673 o 7: DUB x#-na-na (photo); CDLI: kišib3 ma-na-na
Ma-ni-DINGIR-ta,Manniʾili[]PN,MA NI AN TA,uncertain
Ma-ni-ga-num₂,Maniganum[]PN,MA NI GA LUM,Martu
Ma-ni-um,Mannium[]PN,MA NI UM,Manium? (Martu)
Ma-ni-zu,Mannizu[]PN,MA NI ZU,Maniṣ/zu? (Martu)
Ma-nu-a,Mannuʾa[]PN,MA NU A,
Ma-nu-ma-nu-um,MannumAnum[]PN,MA NU MA NU UM,uncertain (Mannumannum?); PDT 2 0959 o? ii? 33 (no copy/photo)
Ma-nu-um,Mannum[]PN,MA NU UM,Manum?
Ma-num₂-ki-{d}Šul-gi,MannumkiŠulgi[]PN,MA LUM KI AN DUN GI,
Ma-num₂-um-ki-{d}Šul-gi,MannumkiŠulgi[]PN,MA LUM UM KI AN DUN GI,
Ma-num₂{ki}-{d}Šul-gi,MannumkiŠulgi[]SN,MA LUM KI AN DUN GI,
Ma-ri-HI-DINGIR,Ma.ri.HI.DINGIR[]PN,MA RI HI AN,TCS 326 o 3 (copy)
Ma-ri₂,Mari[]SN,MA URU,
Ma-ri₂-me,Mari[]SN,MA URU ME,
Ma-ri₂{ki},Mari[]SN,MA URU KI,
Ma-ri₂{ki}-še₃,Mari[]SN,MA URU KI EŠ₂,
Ma-ri₂{ki}-me,Mari[]SN,MA URU KI ME,
Ma-ti-i₃-li₂,Matili[]PN,MA TI NI NI,
Ma-za-ga₂-ga₂,Mazaŋaŋa[]SN,MA ZA GA₂ GA₂,
Ma-zi-ma-zu-še₃,Kuzimazu[]PN,MA ZI MA ZU EŠ₂,"TAD 40 o 5 (copy, KU not MA so photo)"
Ma₂-gan,Magan[]SN,MA₂ GAN,
Ma₂-gan-niga,Magan[]SN,MA₂ GAN ŠE,+ quality of sheep
Ma₂-gan{ki},Magan[]SN,MA₂ GAN KI,
Ma₂-gan{ki}-niga,Magan[]SN,MA₂ GAN KI ŠE,+ quality of sheep
Ma₂-gur₈-re,Magure[]PN,MA₂ TE@G RI,
Ma₂-gur₈-re-ta,Magure[]PN,MA₂ TE@G RI TA,
Ma₂-li-li,Malili[]PN,MA₂ LI LI,
Ma₂-ri₂{ki},Mari[]SN,MA₂ URU KI,PDT 1 594 o 12 (probly MA; no copy/photo)
Ma₂-sa₆-sa₆,Masagsag[]PN,MA₂ ŠA₆ ŠA₆,
Ma₂-za,Maza[]PN,MA₂ ZA,
Maš-bi₂-ga₂-ta,Mašbiŋa[]PN,MAŠ NE GA₂ TA,
Maš-da-tur-ta,Mašdatur[]PN,MAŠ DA TUR TA,MAŠ entries for MAŠ2?
Maš-gu-la,Mašgula[]PN,MAŠ GU LA,
Maš-gu-la-ta,Mašgula[]PN,MAŠ GU LA TA,
Maš-kan₂,Maškan[]GN,MAŠ GAN₂,
Maš-kan₂-ŠABRA-ta,MaškanŠapir[]SN,MAŠ GAN₂ PA AL TA,
Maš-kan₂-ŠABRA{ki}-me,MaškanŠapir[]SN,MAŠ GAN₂ PA AL KI ME,
Maš-kan₂-ŠABRA{ki}-ta,MaškanŠapir[]SN,MAŠ GAN₂ PA AL KI TA,
Maš-kan₂-Du-du{ki}-ta,MaškanDudu[]SN,MAŠ GAN₂ DU DU KI TA,
Maš-kan₂-a-bi₂{ki},MaškanAbi[]SN,MAŠ GAN₂ A NE KI,
Maš-kan₂-a-bi₂{ki}-še₃,MaškanAbi[]SN,MAŠ GAN₂ A NE KI EŠ₂,
Maš-kan₂-šabra,MaškanŠapir[]SN,MAŠ GAN₂ PA AL,
Maš-kan₂-šabra{ki},MaškanŠapir[]SN,MAŠ GAN₂ PA AL KI,
Maš-kan₂-šabra{ki}-ke₄-ne-ta,MaškanŠapir[]SN,MAŠ GAN₂ PA AL KI KID NE TA,
Maš-kan₂-šabra{ki}-me,MaškanŠapir[]SN,MAŠ GAN₂ PA AL KI ME,
Maš-kan₂-šar-ru-um{ki},MaškanŠarrum[]SN,MAŠ GAN₂ SAR RU UM KI,
Maš-kan₂-šar-ru-um{ki}-ke₄-ne,MaškanŠarrum[]SN,MAŠ GAN₂ SAR RU UM KI KID NE,
Maš-kan₂-šar-ru-um{ki}-ma,MaškanŠarrum[]SN,MAŠ GAN₂ SAR RU UM KI MA,
Maš-kan₂-šar-ru-um{ki}-me,MaškanŠarrum[]SN,MAŠ GAN₂ SAR RU UM KI ME,
Maš-kan₂-du-du{ki},MaškanDudu[]SN,MAŠ GAN₂ DU DU KI,
Maš-kan₂-du-du{ki}-me,MaškanDudu[]SN,MAŠ GAN₂ DU DU KI ME,
Maš-kan₂-du-du{ki}-ta,MaškanDudu[]SN,MAŠ GAN₂ DU DU KI TA,
Maš-kan₂-gaeš{sar.ki},MaškanKarašum[]SN,MAŠ GAN₂ GA KASKAL SAR KI,uncertain (MaškanGaʾiššu?); Trouvaille 54 r i 8' (copy)
Maš-kan₂-ka₃-la-tum{ki}-me-eš₂,MaškanKallatum[]SN,MAŠ GAN₂ GA LA TUM KI ME EŠ₂,uncertain
Maš-kan₂-ke₄,Maškan[]GN,MAŠ GAN₂ KID,
Maš-kan₂-ke₄-ne-ta,Maškan[]GN,MAŠ GAN₂ KID NE TA,
Maš-kan₂-u₂-šu-re₂{ki},MaškanUšuri[]SN,MAŠ GAN₂ U₂ ŠU URU KI,
Maš-kan₂-u₂-šu-ri{ki},MaškanUšuri[]SN,MAŠ GAN₂ U₂ ŠU RI KI,
Maš-kan₂-{d}Amar-{d}Suen{ki},MaškanAmarSuʾen[]SN,MAŠ GAN₂ AN AMAR AN EN ZU KI,
Maš-kan₂{ki},Maškan[]GN,MAŠ GAN₂ KI,
Maš-kan₂{ki}-ta,Maškan[]GN,MAŠ GAN₂ KI TA,
Maš-tur,Maštur[]PN,MAŠ TUR,
Maš₂-kan₂-ŠABRA{ki},MaškanŠapir[]SN,MAŠ₂ GAN₂ PA AL KI,typo; TCL 2 5506 o 3 (MAŠ2 for MAŠ; copy/photo)
Mar-da-ba-nu-um,Mardabanum[]PN,MAR DA BA NU UM,Martu
Mar-da-bu-um,Mardabum[]PN,MAR DA BU UM,Martu
Mar-da-ma-an{ki},Mardaman[]SN,MAR DA MA AN KI,
Mar-da-ma-ni-um{ki},Mardaman[]SN,MAR DA MA NI UM KI,
Mar-da-ma-ni{ki},Mardaman[]SN,MAR DA MA NI KI,
Mar-da-mu-um,Mardamum[]PN,MAR DA MU UM,Martu
Mar-da{ki},Marad[]SN,MAR DA KI,typo; Rochester 019 r 1 (MAR for MAR2; photo)
Mar-ha-ši,Marhaši[]GN,MAR HA IGI,
Mar-ha-ši{ki},Marhaši[]GN,MAR HA IGI KI,
Mar-ha-ši{ki}-še₃,Marhaši[]GN,MAR HA IGI KI EŠ₂,
Mar-ha-ši{ki}-ke₄-ne,Marhaši[]GN,MAR HA IGI KI KID NE,
Mar-ha-ši{ki}-ke₄-ne-še₃,Marhaši[]GN,MAR HA IGI KI KID NE EŠ₂,
Mar-ha-ši{ki}-me,Marhaši[]GN,MAR HA IGI KI ME,
Mar-ha-ši{ki}-ra,Marhaši[]GN,MAR HA IGI KI RA,
Mar-ha-ši{ki}-ta,Marhaši[]GN,MAR HA IGI KI TA,
Mar-hu-ni,Marhuni[]PN,MAR HU NI,< Harši
Mar-tu,Martu[]GN,MAR TU,
Mar-tu-a,Martu[]GN,MAR TU A,"Borowski Collection, unpubl. ms., C6 o 4: kur Mar-tu-a pa3-da (copy)"
Mar₂-ad-da-še₃,Marad[]SN,AMAR AD DA EŠ₂,
Mar₂-da,Marad[]SN,AMAR DA,
Mar₂-da{ki},Marad[]SN,AMAR DA KI,
Mar₂-da{ki}-ka,Marad[]SN,AMAR DA KI KA,
Mar₂-da{ki}-ka-še₃,Marad[]SN,AMAR DA KI KA EŠ₂,
Mar₂-da{ki}-ta,Marad[]SN,AMAR DA KI TA,
Mar₂-ma-an{ki},Marman[]SN,AMAR MA AN KI,
Marad₂{ki},Marad[]GN,AMAR DA KI,
Marda₂,Marad[]SN,MARDA₂,typo; entries have Marda2 for Marad2
Marda₂{ki},Marad[]SN,MARDA₂ KI,
Marda₂{ki}-ka,Marad[]SN,MARDA₂ KI KA,
Marda₂{ki}-ta,Marad[]SN,MARDA₂ KI TA,
Mar{ar}-ha-ši{ki},Marhaši[]GN,MAR IGI RI HA IGI KI,
Mar{ar}-ha-ši{ki}-ta,Marhaši[]GN,MAR IGI RI HA IGI KI TA,
Mar{ar}-hu-ni,Marhuni[]PN,MAR IGI RI HU NI,
Me-Eš₄-tar₂,ME.Eš₁₈.tar₂[]PN,ME DIŠ DAR,
Me-a-NE,ME.a.NE[]PN,ME A NE,CDLB 2010: 1 4 o 6 (photo); CDLI: me-a-lam2
Me-ša-nu-nu,Mešanunu[]PN,ME ŠA NU NU,LU2.SU
Me-ši-ad,Mešiʾad[]PN,ME IGI AD,
Me-ši-nu-nu,Mešanunu[]PN,ME IGI NU NU,
Me-dur-an{ki},Meturan[]SN,ME |GU₂×KAK| AN KI,
Me-gu-um,Megum[]PN,ME GU UM,ensi2 Ebla
Me-igi-gal₂,Meʾigiŋal[]PN,ME IGI IG,
Me-ki-gal₂,Mekiŋal[]DN,ME KI IG,Mekiŋalak?; part of PD month-name (11)
Me-ki-gal₂-e,Mekigal[]PN,ME KI IG E,part of PD intercalary month-name (11 diri)
Me-ki-gal₂-ke₄,Mekigal[]PN,ME KI IG KID,part of PD intercalary month-name (11 diri)
Me-ki-gal₂-la,Mekigal[]PN,ME KI IG LA,part of PD month-name (11)
Me-ra-ah-{d}Šul-gi,MerahŠulgi[]PN,ME RA |HI×NUN| AN DUN GI,
Me-ru-um,Merum[]PN,ME RU UM,
